track,reference,stat,lo,hi
D_BW_ENCSR000EMD,benign,std,-0.018584425718968445,0.019716029509367804
D_BW_ENCSR000EMD,benign,mad,-0.006769448518753052,0.006946653127670288
D_BW_ENCSR000DQB,all,std,-0.009203375796788123,0.009303778683285786
D_BW_ENCSR000DQB,all,mad,-0.003572016954421997,0.003572016954421997
D_BW_ENCSR000DQB,benign,std,-0.007598056724218244,0.00803792437532419
D_BW_ENCSR000DQB,benign,mad,-0.00315287709236145,0.00315287709236145
D_BW_ENCSR000EME,all,std,-0.016037558382216814,0.017185115624599227
D_BW_ENCSR000EME,all,mad,-0.00410085916519165,0.0043073296546936035
D_BW_ENCSR000EME,benign,std,-0.0148019724384179,0.015150926704116309
D_BW_ENCSR000EME,benign,mad,-0.0038059651851654053,0.0038368403911590576
D_BW_ENCSR000DQG,all,std,-0.011452852202748174,0.013177107260971948
D_BW_ENCSR000DQG,all,mad,-0.005700260400772095,0.0063581764698028564
D_BW_ENCSR000DQG,benign,std,-0.01142496295684058,0.013417299044342544
D_BW_ENCSR000DQG,benign,mad,-0.005532979965209961,0.006297945976257324
D_BW_ENCSR000DQF,all,std,-0.010583792545848493,0.010414475948003338
D_BW_ENCSR000DQF,all,mad,-0.0031636059284210205,0.0031631290912628174
D_BW_ENCSR000DQF,benign,std,-0.010512613388903367,0.01096833094667394
D_BW_ENCSR000DQF,benign,mad,-0.003702908754348755,0.0037052929401397705
D_BW_ENCSR000DQH,all,std,-0.007339316624482888,0.0074484591940437205
D_BW_ENCSR000DQH,all,mad,-0.0023990869522094727,0.0023990869522094727
D_BW_ENCSR000DQH,benign,std,-0.006204011229645858,0.006342734888855574
D_BW_ENCSR000DQH,benign,mad,-0.002115875482559204,0.002115875482559204
D_BW_ENCSR279KIX,all,std,-0.012905161704057606,0.01286376462564769
D_BW_ENCSR279KIX,all,mad,-0.0052345991134643555,0.0052345991134643555
D_BW_ENCSR279KIX,benign,std,-0.01087978142076825,0.011326119086016372
D_BW_ENCSR279KIX,benign,mad,-0.004745393991470337,0.004745393991470337
D_BW_ENCSR000EMN,all,std,-0.01769240640591232,0.01829701172103798
D_BW_ENCSR000EMN,all,mad,-0.0064833760261535645,0.0064833760261535645
D_BW_ENCSR000EMN,benign,std,-0.01655213608672207,0.017000016245034368
D_BW_ENCSR000EMN,benign,mad,-0.005921036005020142,0.005921155214309692
D_BW_ENCSR000EKI,all,std,-0.012471759165268778,0.011311434594009727
D_BW_ENCSR000EKI,all,mad,-0.005373597145080566,0.0053258538246154785
D_BW_ENCSR000EKI,benign,std,-0.011361877489096426,0.01074267774443987
D_BW_ENCSR000EKI,benign,mad,-0.004959315061569214,0.004958122968673706
D_BW_ENCSR000DQL,all,std,-0.011095797142621853,0.013118909077990383
D_BW_ENCSR000DQL,all,mad,-0.0060808658599853516,0.007471024990081787
D_BW_ENCSR000DQL,benign,std,-0.011248052025709557,0.013414427530818677
D_BW_ENCSR000DQL,benign,mad,-0.006089121103286743,0.007566601037979126
D_BW_ENCSR000DQK,all,std,-0.010362633542540516,0.01063537409438469
D_BW_ENCSR000DQK,all,mad,-0.003992050886154175,0.004088550806045532
D_BW_ENCSR000DQK,benign,std,-0.010307431660755104,0.011572384293361644
D_BW_ENCSR000DQK,benign,mad,-0.00409892201423645,0.0044197142124176025
D_BW_ENCSR000DQM,all,std,-0.009164335975589463,0.008990718131307193
D_BW_ENCSR000DQM,all,mad,-0.0032167434692382812,0.0032167434692382812
D_BW_ENCSR000DQM,benign,std,-0.00740582015143484,0.007541445165118436
D_BW_ENCSR000DQM,benign,mad,-0.0027845799922943115,0.0027845799922943115
D_BW_ENCSR515EWI,all,std,-0.015311326910008057,0.015430937039776617
D_BW_ENCSR515EWI,all,mad,-0.004923403263092041,0.004923403263092041
D_BW_ENCSR515EWI,benign,std,-0.01367503482359765,0.013484202255822296
