track,reference,stat,lo,hi
D_BW_ENCSR000AVF,benign,std,-0.011761490514744363,0.015314179080795505
D_BW_ENCSR000AVF,benign,mad,-0.002864837646484375,0.004761099815368652
D_BW_ENCSR000AUK,all,std,-0.011059334980033447,0.013467633751617764
D_BW_ENCSR000AUK,all,mad,-0.0037149786949157715,0.005223453044891357
D_BW_ENCSR000AUK,benign,std,-0.00942318902251648,0.013681052710963398
D_BW_ENCSR000AUK,benign,mad,-0.0021020174026489258,0.004548788070678711
D_BW_ENCSR000AUM,all,std,-0.02628057033021618,0.017310403533576883
D_BW_ENCSR000AUM,all,mad,-0.0119953453540802,0.007018536329269409
D_BW_ENCSR000AUM,benign,std,-0.015694710418639252,0.021175333289629585
D_BW_ENCSR000AUM,benign,mad,-0.003840327262878418,0.006918549537658691
D_BW_ENCSR000ASH,all,std,-0.01567761218931335,0.013397730456894776
D_BW_ENCSR000ASH,all,mad,-0.00543665885925293,0.0052163004875183105
D_BW_ENCSR000ASH,benign,std,-0.011491866657857095,0.01612377992751295
D_BW_ENCSR000ASH,benign,mad,-0.0023199915885925293,0.004656493663787842
D_BW_ENCSR000AST,all,std,-0.016316444722923668,0.014157423982067738
D_BW_ENCSR000AST,all,mad,-0.005186736583709717,0.005061447620391846
D_BW_ENCSR000AST,benign,std,-0.010911286566017125,0.013338840762615253
D_BW_ENCSR000AST,benign,mad,-0.0024868249893188477,0.0034192800521850586
D_BW_ENCSR000DPD,all,std,-0.012541905589231017,0.01229893026606145
D_BW_ENCSR000DPD,all,mad,-0.0033670663833618164,0.0033670663833618164
D_BW_ENCSR000DPD,benign,std,-0.007416248500584893,0.00885773603568997
D_BW_ENCSR000DPD,benign,mad,-0.0017225146293640137,0.0020545125007629395
D_BW_ENCSR000ASV,all,std,-0.017258100110536304,0.014357839876263014
D_BW_ENCSR000ASV,all,mad,-0.006327003240585327,0.005650430917739868
D_BW_ENCSR000ASV,benign,std,-0.012741888286318911,0.016193067005230995
D_BW_ENCSR000ASV,benign,mad,-0.003269970417022705,0.004587709903717041
D_BW_ENCSR000AUN,all,std,-0.011860240300274915,0.01303099689558339
D_BW_ENCSR000AUN,all,mad,-0.005002409219741821,0.005806535482406616
D_BW_ENCSR000AUN,benign,std,-0.007924112033033608,0.012394665677729927
D_BW_ENCSR000AUN,benign,mad,-0.0018224120140075684,0.0051743388175964355
D_BW_ENCSR346JWH,all,std,-0.02528000651558684,0.022171577132435675
D_BW_ENCSR346JWH,all,mad,-0.010085254907608032,0.00992998480796814
D_BW_ENCSR346JWH,benign,std,-0.013154339502144922,0.016200149948879715
D_BW_ENCSR346JWH,benign,mad,-0.003402233123779297,0.006829380989074707
D_BW_ENCSR714TJD,all,std,-0.017641458837303635,0.01773144773450519
D_BW_ENCSR714TJD,all,mad,-0.007565319538116455,0.007565319538116455
D_BW_ENCSR714TJD,benign,std,-0.013234019009084882,0.017564982208133264
D_BW_ENCSR714TJD,benign,mad,-0.0032982826232910156,0.005934715270996094
D_BW_ENCSR747BYL,all,std,-0.011609042924790713,0.011870094369365876
