variant_type,delta_col,mean,std
snp,D_BW_ENCSR276HBK,0.001108349407585258,0.01439678556674261
snp,D_BW_ENCSR967HXD,0.00015914932721190983,0.0080038331345603
snp,D_BW_ENCSR716ZJH,0.0001943472454435805,0.007011219590117378
snp,D_BW_ENCSR516KSY,0.0005051154324896316,0.006729665439093189
snp,D_BW_ENCSR972SMV,0.0014286533252805727,0.017832311351286156
snp,D_BW_ENCSR620QNS,0.00022444592900255805,0.013081464300087385
snp,D_BW_ENCSR000EUT,-7.743749480981093e-05,0.008442578177041875
snp,D_BW_ENCSR661KMA,0.00012235941731522225,0.00822423993485929
snp,D_BW_ENCSR810BDB,0.0003517460969523487,0.006557510343180147
snp,D_BW_ENCSR091QXP,0.00020664125426202759,0.0060985603275163554
snp,D_BW_ENCSR000EUS,0.0003470731469301077,0.008717473476456974
snp,D_BW_ENCSR161MXP,0.000409258749240484,0.01048526698110424
snp,D_BW_ENCSR333OPW,0.00023547311623891196,0.0081210870887571
snp,D_BW_ENCSR093SHE,0.0001719304575369908,0.007354699909123852
snp,D_BW_ENCSR179BUC,0.00037349361257675367,0.005855374718226093
snp,D_BW_ENCSR910LIE,0.00027336085326651224,0.008935083620158742
snp,D_BW_ENCSR000FCG,0.00045118709214222736,0.008991534961517654
snp,D_BW_ENCSR000FCJ,0.0004097797740728427,0.00581199470202675
snp,D_BW_ENCSR000EJR,0.00017246658093908912,0.009206554400951287
snp,D_BW_ENCSR000DUK,3.890049699534718e-05,0.00669434942412923
snp,D_BW_ENCSR634YVQ,0.00011719799258260645,0.012958218495101334
snp,D_BW_ENCSR000DUO,-0.00012438386105574094,0.007961362883130953
snp,D_BW_ENCSR000EMF,0.0005443746908607646,0.013314946910999702
snp,D_BW_ENCSR000EMG,0.0003937734688958551,0.014380308336465626
snp,D_BW_ENCSR814KRX,0.00044799985793920663,0.018138976016788287
snp,D_BW_ENCSR000EKC,0.0005519802530861308,0.010116269911732685
snp,D_BW_ENCSR223UPC,0.00039151678992132855,0.011486204634034793
snp,D_BW_ENCSR262NQD,0.0005508455615013074,0.007987204804358834
snp,D_BW_ENCSR775GZI,0.0003600304134381123,0.008037533815393497
snp,D_BW_ENCSR888OSH,0.00033768495369670737,0.01167844497353176
snp,D_BW_ENCSR153SGD,0.00030482977819748416,0.007502672694715987
snp,D_BW_ENCSR335ELI,0.0004316417484456657,0.007037568972462318
snp,D_BW_ENCSR560OUF,0.000607861240959575,0.008809029443392263
snp,D_BW_ENCSR315IRO,-4.510163433021969e-05,0.007859099012948168
snp,D_BW_ENCSR410GUN,0.0007427267379995085,0.01030519378427496
snp,D_BW_ENCSR237OBF,0.0004247352608248719,0.009850752070547692
snp,D_BW_ENCSR919DBC,0.0003451637955557587,0.012602185839228177
snp,D_BW_ENCSR176ABZ,0.00018602371470541017,0.008285797509930932
snp,D_BW_ENCSR583ALI,0.00045999297474184605,0.010349774364652061
snp,D_BW_ENCSR862SCU,0.0007559333537888323,0.011045485537209725
snp,D_BW_ENCSR804MAP,0.00031973100943952546,0.00837174906025555
snp,D_BW_ENCSR634MAK,0.0004883063017812549,0.008064097934267633
snp,D_BW_ENCSR426UWA,0.0003516958787655219,0.008173416766522947
snp,D_BW_ENCSR845WAQ,0.00034378907109937096,0.011027949430863443
snp,D_BW_ENCSR894OYM,0.00026284500510774105,0.0073978782315482485
snp,D_BW_ENCSR470PLJ,0.00027770262816522877,0.007022540152095297
snp,D_BW_ENCSR316MNI,0.0005535291300879584,0.00884950934861386
snp,D_BW_ENCSR000EJS,0.0004475502663443231,0.009459724613306289
snp,D_BW_ENCSR000EJT,0.00010419684724930006,0.009894609812337977
snp,D_BW_ENCSR959ZXU,0.0006357327262815247,0.019206048621975728
snp,D_BW_ENCSR000AOC,0.00013670321140024397,0.011380220272802636
